,Brand,Model,Price,Moteur,Energie,Architecture,Cylindrée,Puissance fiscale,Puissance maxi.,Couple maxi.,Boîte à vitesse,Palettes au volant,Conso. ville,Conso. route,Conso. mixte,Emission CO2,Vitesse maxi.,Accélération 0-100 km/h,Catégorie,Carrosserie,Nombre de places,Poids à vide,Longueur,Largeur,Hauteur,Empattement,Volume du réservoir,Volume de coffre,Airbags,ABS,ESP,Antipatinage,Aide au freinage d'urgence,Antidémarrage électronique,Aide au démarrage en côte,Sélecteur de mode de conduite,Détection de fatigue,Système d'alerte de franchissement de ligne,Détecteur d'angle mort,Détecteur de sous-gonflage,Fermeture de portes en roulant,Système d'alarme,Phares antibrouillard,Préparation ISOFIX,Climatisation,Système audio,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Régulateur de vitesse adaptatif,Détecteur de pluie,Allumage auto. des feux,Frein à main électrique,Ecran tactile,Instrumentation de bord digitale,Reconnaissance de panneaux,Affichage Tête-Haute,Aide au stationnement,Caméra de recul,Park Assist Auto.,Commandes au volant,Volant réglable,Vitres électriques,Rétroviseurs électriques,Rétroviseurs rabattables électriquement,Coffre électrique,Démarrage mains libres,Sièges électriques,Sièges électriques avec fonction mémoire,Banquette arrière rabattable 1/3-2/3,Système de navigation GPS,Connexion Internet,Bluetooth,Follow-me home,Jantes aluminium,Volant cuir,Feux de jour,Phares à LED,Vitres sur-teintées,Sellerie,Toit,Barres de toit
0,ALFA,ROMEO Giulia,455.000 DH * promo,2.2 JTD 190 TCT,Diesel,4 cylindres en ligne,2.143 cm³,8 cv,190 ch,450 Nm,Automatique 8 rapports à double embrayage,oui,"6,2 l/100 km","4,3 l/100 km","4,9 l/100 km",126 g/km,230 km/h,"7,1 sec.",Familiale,Berline tricorps,5,1.429 kg,464 cm,186 cm,143 cm,282 cm,58 litre,480 litre,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,auto. Bi-zone,"Radio, MP3, USB",oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,17 pouces,oui,oui,non,oui,Cuir / Similicuir,Rigide,non
1,ALFA,ROMEO Giulia,510.000 DH * promo,2.2 JTD 190 TCT,Diesel,4 cylindres en ligne,2.143 cm³,8 cv,190 ch,450 Nm,Automatique 8 rapports à double embrayage,oui,"6,2 l/100 km","4,3 l/100 km","4,9 l/100 km",126 g/km,230 km/h,"7,1 sec.",Familiale,Berline tricorps,5,1.429 kg,464 cm,186 cm,143 cm,282 cm,58 litre,480 litre,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,auto. Bi-zone,"Radio, MP3, USB",oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,18 pouces,oui,oui,non,oui,Cuir / Tissu,Panoramique ouvrant,non
2,ALFA,ROMEO Giulia,910.000 DH * promo,2.9 V6 510 AT8,Essence,6 cylindres en V,2.891 cm³,17 cv,510 ch,600 Nm,Automatique 8 rapports à double embrayage,oui,"12,8 l/100 km","6,1 l/100 km","8,5 l/100 km",189 g/km,307 km/h,"3,9 sec.",Familiale,Berline tricorps,5,1.429 kg,464 cm,186 cm,143 cm,282 cm,58 litre,480 litre,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,auto. Bi-zone,"Radio, MP3, USB",oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,19 pouces,oui,oui,non,oui,Cuir / Alcantra,Rigide,non
3,ALFA,ROMEO Stelvio,505.000 DH * promo,2.2 JTD 190 TCT,Diesel,4 cylindres,2.143 cm³,9 cv,190 ch,450 Nm,Automatique 8 rapports à double embrayage,oui,"6,1 l/100 km","5,2 l/100 km","5,5 l/100 km",124 g/km,210 km/h,"7,6 sec.",4x4 / SUV / Crossover,SUV,5,1.604 kg,469 cm,190 cm,167 cm,282 cm,58 litre,525 litre,8,oui,oui,oui,oui,oui,oui,oui,non,oui,non,oui,oui,oui,oui,oui,auto. Bi-zone,"Radio, MP3, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,18 pouces,oui,oui,non,oui,Cuir / Tissu,Rigide,oui
4,ALFA,ROMEO Stelvio,576.000 DH * promo,2.2 JTD 190 TCT,Diesel,4 cylindres,2.143 cm³,9 cv,190 ch,450 Nm,Automatique 8 rapports à double embrayage,oui,"6,1 l/100 km","5,2 l/100 km","5,5 l/100 km",124 g/km,210 km/h,"7,6 sec.",4x4 / SUV / Crossover,SUV,5,1.604 kg,469 cm,190 cm,167 cm,282 cm,58 litre,525 litre,8,oui,oui,oui,oui,oui,oui,oui,non,oui,non,oui,oui,oui,oui,oui,auto. Bi-zone,"Radio, MP3, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,19 pouces,oui,oui,non,oui,Cuir / Tissu,Rigide,oui
5,ALFA,ROMEO Stelvio,605.000 DH * promo,2.2 JTD 210 TCT,Diesel,4 cylindres,2.143 cm³,9 cv,210 ch,470 Nm,Automatique 8 rapports à double embrayage,oui,"6,9 l/100 km","5,6 l/100 km","6,1 l/100 km",137 g/km,215 km/h,"6,6 sec.",4x4 / SUV / Crossover,SUV,5,1.604 kg,469 cm,190 cm,167 cm,282 cm,58 litre,525 litre,8,oui,oui,oui,oui,oui,oui,oui,non,oui,non,oui,oui,oui,oui,oui,auto. Bi-zone,"Radio, MP3, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,non,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,oui,oui,Conducteur et Passager,oui,oui,oui,non,oui,oui,20 pouces,oui,oui,non,oui,Cuir,Rigide,oui
6,AUDI,A3 Sportback,317.000 DH *   * Prix public,2.0 TDI 116,Diesel,4 cylindres,1.968 cm³,8 cv,116 ch,300 Nm,Manuelle 6 rapports,,"5,0 l/100 km","3,2 l/100 km","3,9 l/100 km",115 g/km,206 km/h,"10,1 sec.",Compacte,Compacte bicorps,5,1.395 kg,434 cm,182 cm,145 cm,264 cm,50 litre,380 litre,6,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,non,non,oui,manuelle,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,non,non,oui,non,non,oui,non,non,oui,oui,16 pouces,oui,oui,non,non,Tissu,Rigide,non
7,AUDI,A3 Sportback,354.000 DH *   * Prix public,2.0 TDI 116,Diesel,4 cylindres,1.968 cm³,8 cv,116 ch,300 Nm,Manuelle 6 rapports,,"5,0 l/100 km","3,2 l/100 km","3,9 l/100 km",115 g/km,206 km/h,"10,1 sec.",Compacte,Compacte bicorps,5,1.395 kg,434 cm,182 cm,145 cm,264 cm,50 litre,380 litre,6,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,non,non,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,non,non,oui,non,non,oui,oui,17 pouces,oui,oui,oui,non,Similicuir,Rigide,non
8,AUDI,A3 Sportback,354.000 DH *   * Prix public,2.0 TDI 150 S-Tronic,Diesel,4 cylindres,1.968 cm³,8 cv,150 ch,360 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,6 l/100 km","3,4 l/100 km","3,9 l/100 km",120 g/km,222 km/h,"8,3 sec.",Compacte,Compacte bicorps,5,1.395 kg,434 cm,182 cm,145 cm,264 cm,50 litre,380 litre,6,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,non,non,oui,manuelle,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,non,non,oui,non,non,oui,non,non,oui,oui,16 pouces,oui,oui,non,non,Tissu,Rigide,non
9,AUDI,A3 Sportback,397.000 DH *   * Prix public,2.0 TDI 150 S-Tronic,Diesel,4 cylindres,1.968 cm³,8 cv,150 ch,360 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,6 l/100 km","3,4 l/100 km","3,9 l/100 km",120 g/km,222 km/h,"8,3 sec.",Compacte,Compacte bicorps,5,1.395 kg,434 cm,182 cm,145 cm,264 cm,50 litre,380 litre,6,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,non,non,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,non,non,oui,non,non,oui,oui,17 pouces,oui,oui,oui,non,Similicuir,Rigide,non
10,AUDI,A3 Sportback,440.000 DH *   * Prix public,2.0 TDI 150 S-Tronic,Diesel,4 cylindres,1.968 cm³,8 cv,150 ch,360 Nm,Automatique S-Tronic 7 rapports à double embrayage,oui,"4,6 l/100 km","3,4 l/100 km","3,9 l/100 km",120 g/km,222 km/h,"8,3 sec.",Compacte,Compacte bicorps,5,1.395 kg,434 cm,182 cm,145 cm,264 cm,50 litre,380 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,non,non,oui,non,non,oui,oui,17 pouces,oui,oui,oui,non,Similicuir,Panoramique,non
11,AUDI,A3 Sportback,474.000 DH *   * Prix public,2.0 TDI 150 S-Tronic,Diesel,4 cylindres,1.968 cm³,8 cv,150 ch,360 Nm,Automatique S-Tronic 7 rapports à double embrayage,oui,"4,6 l/100 km","3,4 l/100 km","3,9 l/100 km",120 g/km,222 km/h,"8,3 sec.",Compacte,Compacte bicorps,5,1.395 kg,434 cm,182 cm,145 cm,264 cm,50 litre,380 litre,6,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,non,non,oui,auto. Bi-zone,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,oui,non,oui,Conducteur,non,oui,non,non,oui,oui,18 pouces,oui,oui,oui,non,Similicuir,Panoramique,non
12,AUDI,A3 Berline,369.000 DH *   * Prix public,2.0 TDI 150 S-Tronic,Diesel,4 cylindres,1.968 cm³,8 cv,150 ch,360 Nm,Automatique S-Tronic 7 rapports à double embrayage,,"4,6 l/100 km","3,4 l/100 km","3,9 l/100 km",120 g/km,222 km/h,"8,3 sec.",Compacte,Compacte tricorps,5,1.395 kg,450 cm,182 cm,143 cm,264 cm,50 litre,425 litre,6,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,non,non,oui,manuelle,"Radio, USB",oui,oui,oui,non,oui,oui,oui,oui,oui,non,non,Avant et Arrière,oui,oui,oui,Hauteur et Profondeur,Electrique AV/AR,oui,non,non,oui,non,non,oui,non,non,oui,oui,16 pouces,oui,oui,non,non,Tissu,Rigide,non
