,Brand,Model,Version,Price,Modèle,Ville,Vendeur,Main,Kilométrage,Carburant,Transmision,Année de mise en circulation,1ère main,Dédouanée,Motorisation,Puissance fiscale,Puissance dynamique,Couleur extérieure,Etat du véhicule,Climatisation,Système audio,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Rétroviseurs rabattables électriquement,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Aide au stationnement,Caméra de recul,Bluetooth,Système de navigation,Jantes aluminium,Volant cuir,Sellerie,Vitres teintées,Feux de jour,Feux à LED,Phares Xénon,Barres de toit,Toit,Airbags,ABS,ESP,Aide au freinage d'urgence,Antipatinage,Antidémarrage électronique,Détecteur de sous-gonflage,Fermeture de portes en roulant,Aide au démarrage en cote,Système d'alerte de franchissement de ligne,Détecteur d'angle mort,Système d'alarme
0,MERCEDES,Classe C 2014,220 d,228.000 DH,2014,Rabat,Particulier,Seconde,144.500 km,Diesel,Automatique,2014,non,oui,Diesel,8 cv,150 ch,Gris foncé,Très bon,auto. Bi-zone,"Radio, USB",Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,non,non,non,oui,oui,Arrière,oui,oui,non,oui,oui,Similicuir,non,oui,non,non,non,Rigide,oui,oui,oui,oui,oui,oui,oui,non,oui,non,non,non
1,MERCEDES,Classe C 2003,220 CDI,79.000 DH,2003,Beni Mellal,Particulier,Seconde,350.000 km,Diesel,Manuelle,2003,non,oui,Diesel,8 cv,170 ch,Noir,Très bon,auto.,"Radio, CD, DVD",Electrique AV/AR,Tous les passagers,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,oui,oui,non,Cuir,oui,oui,non,non,non,Rigide,oui,oui,oui,non,oui,non,oui,non,non,oui,oui,non
2,MERCEDES,Classe B 2013,180 d Urban,150.000 DH,2013,El Jadida,Particulier,Seconde,144.000 km,Diesel,Manuelle,2013,non,non,Diesel,8 cv,109 ch,Noir,Comme neuve,manuelle,"Radio, CD, USB",Electrique AV/AR,non,oui,non,oui,oui,oui,oui,non,non,non,non,oui,oui,Arrière,oui,oui,non,oui,oui,Similicuir,oui,oui,non,non,non,Rigide,oui,oui,oui,oui,oui,oui,oui,non,oui,non,non,non
3,MERCEDES,Classe E 2006,Autre version,135.000 DH,2006,Salé,Particulier,Seconde,248.000 km,Diesel,Automatique,2006,non,oui,Diesel,9 cv,170 ch,Gris clair,Comme neuve,auto. Bi-zone,"Radio, CD",Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,non,oui,non,oui,oui,non,non,non,oui,oui,oui,non,Tissu / Velours,oui,oui,non,non,oui,Rigide,oui,oui,oui,oui,oui,oui,oui,non,oui,non,non,oui
4,MERCEDES,CLA Coupé 2014,220 CDI,240.000 DH,2014,Casablanca,Particulier,Seconde,103.000 km,Diesel,Automatique,2014,non,non,Diesel,9 cv,177 ch,Blanc cassé,Excellent,auto.,"Radio, MP3, USB",Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,non,non,oui,oui,non,oui,non,Cuir,non,oui,non,non,non,Panoramique,oui,oui,oui,oui,oui,oui,oui,non,oui,non,non,oui
5,MERCEDES,Classe E 2010,250 CDI BlueEfficiency Classic,150.000 DH VENDUE,2010,Rabat,Particulier,Seconde,169.950 km,Diesel,Automatique,2010,non,oui,Diesel,9 cv,204 ch,Gris,Très bon,auto. Bi-zone,"Radio, CD, MP3",Electrique AV/AR,Conducteur,oui,non,oui,oui,oui,oui,non,oui,oui,oui,non,oui,non,oui,oui,oui,oui,non,Cuir,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,oui,oui,oui,non,oui,non,non,oui
6,MERCEDES,Classe E 2016,220 d DCT Luxury,580.000 DH,2016,Tanger,Particulier,Seconde,18.000 km,Diesel,Automatique,2016,non,non,Diesel,8 cv,194 ch,Noir,Comme neuve,auto. Multi-zone,"Radio, MP3, USB",Electrique AV/AR,Tous les passagers,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Avant et Arrière,oui,oui,non,non,oui,Cuir,oui,oui,oui,non,non,Panoramique ouvrant,oui,oui,oui,oui,oui,oui,oui,non,oui,non,non,oui
7,MERCEDES,Classe C 2013,200 d Avantgarde +,228.000 DH,2013,Casablanca,Particulier,Première,155.000 km,Diesel,Automatique,2013,oui,oui,Diesel,9 cv,180 ch,Gris,Comme neuve,auto. Bi-zone,"Radio, USB",Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,Arrière,oui,oui,oui,oui,oui,Similicuir / Tissu,non,oui,oui,oui,non,Rigide,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,non
8,MERCEDES,GLA 2017,200 d Urban,290.000 DH VENDUE,2017,Rabat,Particulier,Première,67.271 km,Diesel,Automatique,2017,oui,non,Diesel,9 cv,136 ch,Noir,Comme neuve,auto.,"Radio CD, SD, USB",Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,Arrière,oui,oui,oui,oui,oui,Similicuir,oui,oui,non,non,oui,Rigide,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non
9,MERCEDES,CLA Coupé 2014,200 CDI,240.000 DH,2014,Casablanca,Particulier,Seconde,87.000 km,Diesel,Manuelle,2014,non,non,Diesel,6 cv,136 ch,Blanc,Très bon,auto.,"Radio CD, SD, USB",Electrique AV/AR,non,oui,non,oui,oui,non,oui,non,non,non,oui,oui,non,non,oui,oui,non,oui,non,Cuir,non,non,non,non,non,Rigide,oui,oui,oui,non,oui,oui,non,non,oui,non,non,non
